Date,Mid
23 08 2021,107.899
20 08 2021,104.631
19 08 2021,104.497
18 08 2021,105.619
17 08 2021,102.358
16 08 2021,105.283
13 08 2021,106.149
12 08 2021,107.519
11 08 2021,107.084
10 08 2021,108.31
9 08 2021,107.994
6 08 2021,109.577
5 08 2021,110.419
4 08 2021,110.191
3 08 2021,110.709
2 08 2021,111.542
30 07 2021,112.059
29 07 2021,111.363
28 07 2021,109.867
27 07 2021,109.872
26 07 2021,109.729
23 07 2021,109.816
22 07 2021,110.096
21 07 2021,109.776
20 07 2021,109.772
19 07 2021,109.699
16 07 2021,109.987
15 07 2021,109.816
14 07 2021,109.519
13 07 2021,108.667
12 07 2021,108.308
9 07 2021,108.95
8 07 2021,109.01
7 07 2021,109.138
6 07 2021,108.884
5 07 2021,109.267
2 07 2021,109.486
1 07 2021,109.835
30 06 2021,109.86
29 06 2021,110.179
28 06 2021,110.102
25 06 2021,110.152
24 06 2021,109.893
23 06 2021,109.983
22 06 2021,109.943
21 06 2021,109.451
18 06 2021,109.514
17 06 2021,109.104
16 06 2021,108.44
15 06 2021,108.363
14 06 2021,108.047
11 06 2021,108.567
10 06 2021,108.631
9 06 2021,108.631
8 06 2021,108.874
7 06 2021,109.421
4 06 2021,109.634
3 06 2021,109.319
2 06 2021,109.378
1 06 2021,109.396
31 05 2021,109.429
28 05 2021,109.367
27 05 2021,109.549
26 05 2021,109.473
25 05 2021,109.534
24 05 2021,109.32
21 05 2021,109.279
20 05 2021,108.553
19 05 2021,108.717
18 05 2021,108.554
17 05 2021,108.534
14 05 2021,108.751
13 05 2021,108.853
12 05 2021,108.633
11 05 2021,108.971
10 05 2021,109.469
7 05 2021,109.504
6 05 2021,109.539
5 05 2021,109.027
4 05 2021,108.918
3 05 2021,108.619
30 04 2021,108.616
29 04 2021,108.605
28 04 2021,108.533
27 04 2021,108.675
26 04 2021,108.773
23 04 2021,108.408
22 04 2021,108.812
21 04 2021,108.99
20 04 2021,109.041
19 04 2021,109.217
16 04 2021,109.282
15 04 2021,108.965
14 04 2021,109.144
13 04 2021,108.573
12 04 2021,108.168
9 04 2021,108.019
8 04 2021,108.826
7 04 2021,108.885
6 04 2021,108.931
5 04 2021,108.655
2 04 2021,108.599
1 04 2021,108.691
31 03 2021,108.481
30 03 2021,108.599
29 03 2021,108.371
26 03 2021,108.631
25 03 2021,108.755
24 03 2021,108.852
23 03 2021,108.391
22 03 2021,108.358
19 03 2021,107.955
18 03 2021,107.473
17 03 2021,107.073
16 03 2021,107.242
15 03 2021,106.89
12 03 2021,106.911
11 03 2021,107.177
10 03 2021,107.74
9 03 2021,108.071
8 03 2021,107.862
5 03 2021,107.83
4 03 2021,107.769
3 03 2021,107.046
2 03 2021,107.54
1 03 2021,107.535
26 02 2021,108.009
25 02 2021,108.443
24 02 2021,108.114
23 02 2021,108.128
22 02 2021,108.057
19 02 2021,108.076
18 02 2021,107.796
17 02 2021,107.542
16 02 2021,107.234
15 02 2021,106.914
12 02 2021,106.935
11 02 2021,106.379
10 02 2021,105.918
9 02 2021,106.198
8 02 2021,106.228
5 02 2021,106.516
4 02 2021,106.118
3 02 2021,105.738
2 02 2021,106.08
1 02 2021,105.363
29 01 2021,106.431
28 01 2021,106.61
27 01 2021,106.223
26 01 2021,106.631
25 01 2021,106.358
22 01 2021,106.122
21 01 2021,105.907
20 01 2021,106.744
19 01 2021,105.295
18 01 2021,105.638
15 01 2021,106.072
14 01 2021,106.266
13 01 2021,106.474
12 01 2021,105.94
11 01 2021,106.55
8 01 2021,107.328
7 01 2021,108.748
6 01 2021,108.591
5 01 2021,108.776
4 01 2021,108.662
1 01 2021,108.628
31 12 2020,108.178
30 12 2020,108.207
29 12 2020,107.863
28 12 2020,107.698
25 12 2020,107.288
24 12 2020,107.942
23 12 2020,108.235
22 12 2020,107.907
21 12 2020,107.884
18 12 2020,108.489
17 12 2020,108.462
16 12 2020,108.852
15 12 2020,108.718
14 12 2020,108.454
11 12 2020,107.809
10 12 2020,107.783
9 12 2020,107.875
8 12 2020,108.439
7 12 2020,107.908
4 12 2020,107.789
3 12 2020,107.787
2 12 2020,107.169
1 12 2020,107.295
30 11 2020,107.303
27 11 2020,107.292
26 11 2020,108.101
25 11 2020,108.446
24 11 2020,108.539
23 11 2020,108.55
20 11 2020,108.378
19 11 2020,108.502
18 11 2020,108.516
17 11 2020,108.429
16 11 2020,108.189
13 11 2020,108.396
12 11 2020,108.461
11 11 2020,108.143
10 11 2020,108.06
9 11 2020,108.278
6 11 2020,109.621
5 11 2020,109.589
4 11 2020,109.372
3 11 2020,109.504
2 11 2020,109.285
30 10 2020,109.6
29 10 2020,110.348
28 10 2020,110.489
27 10 2020,110.061
26 10 2020,110.054
23 10 2020,109.841
22 10 2020,109.587
21 10 2020,109.598
20 10 2020,109.301
19 10 2020,109.94
16 10 2020,109.767
15 10 2020,110.091
14 10 2020,110.24
13 10 2020,110.742
12 10 2020,111.09
9 10 2020,111.495
8 10 2020,111.369
7 10 2020,111.41
6 10 2020,111.644
5 10 2020,111.526
2 10 2020,111.601
1 10 2020,112.185
30 09 2020,111.854
29 09 2020,111.934
28 09 2020,111.859
25 09 2020,111.952
24 09 2020,112.056
23 09 2020,111.982
22 09 2020,112.032
21 09 2020,111.993
18 09 2020,111.645
17 09 2020,111.003
16 09 2020,111.132
15 09 2020,111.464
14 09 2020,111.688
11 09 2020,111.648
10 09 2020,111.486
9 09 2020,111.31
8 09 2020,111.343
7 09 2020,110.825
4 09 2020,110.609
3 09 2020,110.51
2 09 2020,110.631
1 09 2020,109.957
31 08 2020,109.925
28 08 2020,110.8
27 08 2020,110.684
26 08 2020,111.385
25 08 2020,111.424
24 08 2020,111.471
21 08 2020,111.672
20 08 2020,111.143
