Date,Mid
11 11 2021,1.12328
10 11 2021,1.11693
9 11 2021,1.11353
8 11 2021,1.11036
5 11 2021,1.10767
4 11 2021,1.10026
3 11 2021,1.09816
2 11 2021,1.0895
1 11 2021,1.0898
29 10 2021,1.09484
28 10 2021,1.09771
27 10 2021,1.09221
26 10 2021,1.09154
25 10 2021,1.08183
22 10 2021,1.0804
21 10 2021,1.08176
20 10 2021,1.08472
19 10 2021,1.08061
18 10 2021,1.08371
15 10 2021,1.08331
14 10 2021,1.0793
13 10 2021,1.08377
12 10 2021,1.09058
11 10 2021,1.09777
8 10 2021,1.09539
7 10 2021,1.08724
6 10 2021,1.08186
5 10 2021,1.08286
4 10 2021,1.08196
1 10 2021,1.0776
30 09 2021,1.08229
29 09 2021,1.08564
28 09 2021,1.08607
27 09 2021,1.08711
24 09 2021,1.08386
23 09 2021,1.09066
22 09 2021,1.09798
21 09 2021,1.0912
20 09 2021,1.09326
17 09 2021,1.09285
16 09 2021,1.08564
15 09 2021,1.08904
14 09 2021,1.0792
13 09 2021,1.07955
10 09 2021,1.08561
9 09 2021,1.09616
8 09 2021,1.10299
7 09 2021,1.10427
6 09 2021,1.11379
3 09 2021,1.10302
2 09 2021,1.08812
1 09 2021,1.07861
31 08 2021,1.07239
30 08 2021,1.06929
27 08 2021,1.06911
26 08 2021,1.0912
25 08 2021,1.09971
24 08 2021,1.1182
23 08 2021,1.10992
20 08 2021,1.11848
19 08 2021,1.12682
18 08 2021,1.12794
17 08 2021,1.1439
16 08 2021,1.12804
13 08 2021,1.12361
12 08 2021,1.11328
11 08 2021,1.11716
10 08 2021,1.11331
9 08 2021,1.10251
6 08 2021,1.09998
5 08 2021,1.08813
4 08 2021,1.08806
3 08 2021,1.08519
2 08 2021,1.08456
30 07 2021,1.07838
29 07 2021,1.08022
28 07 2021,1.07907
27 07 2021,1.08345
26 07 2021,1.08299
23 07 2021,1.08408
22 07 2021,1.08728
21 07 2021,1.09143
20 07 2021,1.09105
19 07 2021,1.09438
16 07 2021,1.09827
15 07 2021,1.09989
14 07 2021,1.10434
13 07 2021,1.10593
12 07 2021,1.10944
9 07 2021,1.10312
8 07 2021,1.10098
7 07 2021,1.1022
6 07 2021,1.10184
5 07 2021,1.10224
2 07 2021,1.10542
1 07 2021,1.1092
30 06 2021,1.10819
29 06 2021,1.10944
28 06 2021,1.1089
25 06 2021,1.11358
24 06 2021,1.11495
23 06 2021,1.11274
22 06 2021,1.11338
21 06 2021,1.11165
18 06 2021,1.11051
17 06 2021,1.11053
16 06 2021,1.11526
15 06 2021,1.11968
14 06 2021,1.11548
11 06 2021,1.11722
10 06 2021,1.12076
9 06 2021,1.12076
8 06 2021,1.11985
7 06 2021,1.11713
4 06 2021,1.10974
3 06 2021,1.10821
2 06 2021,1.10879
1 06 2021,1.10895
31 05 2021,1.10769
28 05 2021,1.11199
27 05 2021,1.11127
26 05 2021,1.11487
25 05 2021,1.11435
24 05 2021,1.11174
21 05 2021,1.11286
20 05 2021,1.11294
19 05 2021,1.10919
18 05 2021,1.10635
17 05 2021,1.10543
14 05 2021,1.11042
13 05 2021,1.10775
12 05 2021,1.10809
11 05 2021,1.10784
10 05 2021,1.1015
7 05 2021,1.10067
6 05 2021,1.09989
5 05 2021,1.10194
4 05 2021,1.10126
