Date,Mid
23 08 2021,51.07
20 08 2021,51.32
19 08 2021,50.605
18 08 2021,50.495
17 08 2021,50.55
16 08 2021,50.57
13 08 2021,50.774
12 08 2021,50.637
11 08 2021,50.86
10 08 2021,50.75
9 08 2021,51.1
6 08 2021,50.868
5 08 2021,51.057
4 08 2021,51.07
3 08 2021,51.056
2 08 2021,50.885
30 07 2021,50.828
29 07 2021,50.58
28 07 2021,50.645
27 07 2021,50.57
26 07 2021,50.55
23 07 2021,50.471
22 07 2021,50.545
21 07 2021,50.514
20 07 2021,50.81
19 07 2021,50.895
16 07 2021,50.727
15 07 2021,50.732
14 07 2021,50.726
13 07 2021,50.9
12 07 2021,51.021
9 07 2021,51.051
8 07 2021,50.864
7 07 2021,50.747
6 07 2021,50.885
5 07 2021,50.801
2 07 2021,51.047
1 07 2021,50.97
30 06 2021,51.01
29 06 2021,50.96
28 06 2021,50.92
25 06 2021,50.85
24 06 2021,50.776
23 06 2021,50.655
22 06 2021,50.425
21 06 2021,50.54
18 06 2021,50.67
17 06 2021,50.59
16 06 2021,50.88
15 06 2021,51.096
14 06 2021,51.11
11 06 2021,50.73
10 06 2021,50.71
9 06 2021,50.71
8 06 2021,50.79
7 06 2021,50.82
4 06 2021,50.745
3 06 2021,50.82
2 06 2021,50.82
1 06 2021,50.885
31 05 2021,50.725
28 05 2021,50.63
27 05 2021,50.647
26 05 2021,50.575
25 05 2021,50.63
24 05 2021,50.63
21 05 2021,50.551
20 05 2021,50.776
19 05 2021,50.73
18 05 2021,50.832
17 05 2021,50.8
14 05 2021,50.801
13 05 2021,50.961
12 05 2021,51.088
11 05 2021,51.03
10 05 2021,50.855
7 05 2021,50.8
6 05 2021,50.84
5 05 2021,50.84
4 05 2021,50.81
3 05 2021,50.905
30 04 2021,50.845
29 04 2021,50.915
28 04 2021,50.973
27 04 2021,50.782
26 04 2021,50.575
23 04 2021,50.756
22 04 2021,50.925
21 04 2021,50.818
20 04 2021,50.822
19 04 2021,50.55
