Date,Mid
24 09 2021,1.2455
23 09 2021,1.25108
22 09 2021,1.26233
21 09 2021,1.25002
20 09 2021,1.24449
17 09 2021,1.24525
16 09 2021,1.23808
15 09 2021,1.23297
14 09 2021,1.22291
13 09 2021,1.2264
10 09 2021,1.23925
9 09 2021,1.2373
8 09 2021,1.24163
7 09 2021,1.24171
6 09 2021,1.24448
3 09 2021,1.21997
2 09 2021,1.18842
1 09 2021,1.17488
31 08 2021,1.15372
30 08 2021,1.16301
27 08 2021,1.14837
26 08 2021,1.16141
25 08 2021,1.20499
24 08 2021,1.22674
23 08 2021,1.22673
20 08 2021,1.25653
19 08 2021,1.28117
18 08 2021,1.29017
17 08 2021,1.31226
16 08 2021,1.30459
13 08 2021,1.29485
12 08 2021,1.28698
11 08 2021,1.28125
10 08 2021,1.27518
9 08 2021,1.28125
6 08 2021,1.28839
5 08 2021,1.28953
4 08 2021,1.30038
3 08 2021,1.29253
2 08 2021,1.29529
30 07 2021,1.28759
29 07 2021,1.29144
28 07 2021,1.29953
27 07 2021,1.3004
26 07 2021,1.30455
23 07 2021,1.30413
22 07 2021,1.29576
21 07 2021,1.29468
20 07 2021,1.29141
19 07 2021,1.28818
16 07 2021,1.29238
15 07 2021,1.30005
14 07 2021,1.30293
13 07 2021,1.29928
12 07 2021,1.32014
9 07 2021,1.30909
8 07 2021,1.30153
7 07 2021,1.30272
6 07 2021,1.30555
5 07 2021,1.30701
2 07 2021,1.31193
1 07 2021,1.31379
30 06 2021,1.30473
29 06 2021,1.30077
28 06 2021,1.30058
25 06 2021,1.30784
24 06 2021,1.30374
23 06 2021,1.3013
22 06 2021,1.29868
21 06 2021,1.30569
18 06 2021,1.3066
17 06 2021,1.30918
16 06 2021,1.31189
15 06 2021,1.31685
14 06 2021,1.30787
11 06 2021,1.31349
10 06 2021,1.32559
9 06 2021,1.32559
8 06 2021,1.31118
7 06 2021,1.30758
4 06 2021,1.29922
3 06 2021,1.29527
2 06 2021,1.29346
1 06 2021,1.29337
31 05 2021,1.29952
28 05 2021,1.30092
27 05 2021,1.30771
26 05 2021,1.31292
25 05 2021,1.33284
24 05 2021,1.33266
21 05 2021,1.31582
20 05 2021,1.3194
19 05 2021,1.31531
18 05 2021,1.31349
17 05 2021,1.31319
14 05 2021,1.31554
13 05 2021,1.3103
12 05 2021,1.29904
11 05 2021,1.29372
10 05 2021,1.29132
7 05 2021,1.29097
6 05 2021,1.2919
5 05 2021,1.2864
4 05 2021,1.28982
3 05 2021,1.28283
30 04 2021,1.29038
29 04 2021,1.29216
28 04 2021,1.29238
27 04 2021,1.29508
26 04 2021,1.28998
23 04 2021,1.28809
22 04 2021,1.28473
21 04 2021,1.28449
20 04 2021,1.28505
19 04 2021,1.27714
16 04 2021,1.28135
15 04 2021,1.28538
14 04 2021,1.28808
13 04 2021,1.28807
12 04 2021,1.29368
9 04 2021,1.29404
8 04 2021,1.28969
7 04 2021,1.28644
6 04 2021,1.28549
5 04 2021,1.28234
2 04 2021,1.28488
1 04 2021,1.29102
31 03 2021,1.28693
30 03 2021,1.29578
29 03 2021,1.29802
26 03 2021,1.28893
25 03 2021,1.28256
24 03 2021,1.27805
23 03 2021,1.26065
22 03 2021,1.26408
19 03 2021,1.24314
18 03 2021,1.2204
17 03 2021,1.22162
16 03 2021,1.22881
15 03 2021,1.23291
12 03 2021,1.23292
11 03 2021,1.22979
10 03 2021,1.23026
9 03 2021,1.22835
8 03 2021,1.22851
5 03 2021,1.23174
4 03 2021,1.23451
3 03 2021,1.24921
2 03 2021,1.24257
1 03 2021,1.24751
26 02 2021,1.25207
25 02 2021,1.24676
24 02 2021,1.24967
23 02 2021,1.24237
22 02 2021,1.24974
19 02 2021,1.23299
18 02 2021,1.23264
17 02 2021,1.23516
16 02 2021,1.23419
15 02 2021,1.228
12 02 2021,1.23311
11 02 2021,1.22518
10 02 2021,1.20798
9 02 2021,1.20643
8 02 2021,1.21573
5 02 2021,1.21784
4 02 2021,1.22104
3 02 2021,1.2285
2 02 2021,1.22163
1 02 2021,1.22824
29 01 2021,1.22456
28 01 2021,1.21215
27 01 2021,1.21648
26 01 2021,1.21236
25 01 2021,1.21425
22 01 2021,1.20753
21 01 2021,1.20515
20 01 2021,1.20584
19 01 2021,1.20747
18 01 2021,1.20214
15 01 2021,1.21333
14 01 2021,1.21407
13 01 2021,1.21657
12 01 2021,1.21425
11 01 2021,1.21572
8 01 2021,1.21312
7 01 2021,1.21573
6 01 2021,1.21498
5 01 2021,1.22158
4 01 2021,1.23805
1 01 2021,1.24505
31 12 2020,1.24842
30 12 2020,1.24381
29 12 2020,1.24741
28 12 2020,1.24972
25 12 2020,1.2543
24 12 2020,1.24307
23 12 2020,1.24056
22 12 2020,1.25146
21 12 2020,1.25705
18 12 2020,1.25198
17 12 2020,1.25014
16 12 2020,1.24584
15 12 2020,1.25103
14 12 2020,1.25209
11 12 2020,1.25759
10 12 2020,1.25711
9 12 2020,1.25922
8 12 2020,1.26386
7 12 2020,1.26916
4 12 2020,1.26693
3 12 2020,1.26854
2 12 2020,1.26861
1 12 2020,1.2738
30 11 2020,1.27403
27 11 2020,1.27002
26 11 2020,1.26374
25 11 2020,1.25564
24 11 2020,1.25325
23 11 2020,1.25891
20 11 2020,1.26726
19 11 2020,1.26871
18 11 2020,1.27196
17 11 2020,1.26829
16 11 2020,1.27354
13 11 2020,1.26907
12 11 2020,1.26833
11 11 2020,1.26954
10 11 2020,1.2663
9 11 2020,1.26291
6 11 2020,1.26051
5 11 2020,1.26255
4 11 2020,1.26525
3 11 2020,1.26776
2 11 2020,1.27111
30 10 2020,1.26555
29 10 2020,1.26598
28 10 2020,1.27045
27 10 2020,1.27225
26 10 2020,1.2715
23 10 2020,1.27936
22 10 2020,1.28413
21 10 2020,1.29035
20 10 2020,1.29557
19 10 2020,1.29997
16 10 2020,1.30054
15 10 2020,1.30043
14 10 2020,1.30736
13 10 2020,1.3095
12 10 2020,1.31694
9 10 2020,1.30287
8 10 2020,1.30493
7 10 2020,1.30294
6 10 2020,1.29317
5 10 2020,1.29106
2 10 2020,1.28967
1 10 2020,1.28993
30 09 2020,1.29345
29 09 2020,1.29772
28 09 2020,1.29815
25 09 2020,1.2984
24 09 2020,1.3038
23 09 2020,1.3045
22 09 2020,1.30967
21 09 2020,1.30634
18 09 2020,1.30512
17 09 2020,1.30851
16 09 2020,1.30479
15 09 2020,1.30551
14 09 2020,1.30338
11 09 2020,1.30729
10 09 2020,1.31556
9 09 2020,1.31234
8 09 2020,1.31012
